UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-11050;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;14792
2017-11054;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;Freie Demokratische Partei;10702
2017-11051;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;DIE LINKE;6922
2017-11053;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;62465
2017-11049;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11052;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;17786
2017-11055;2017;223;Bad Tölz-Wolfratshausen – Miesbach;BL-09;Organisation;Alternative für Deutschland;13025
2017-11097;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;29308
2017-11101;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;Freie Demokratische Partei;16893
2017-11098;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;DIE LINKE;6983
2017-11100;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;73948
2017-11096;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11099;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;20864
2017-11102;2017;224;Starnberg – Landsberg am Lech;BL-09;Organisation;Alternative für Deutschland;15607
2017-11144;2017;225;Traunstein;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;25659
2017-11148;2017;225;Traunstein;BL-09;Organisation;Freie Demokratische Partei;9034
2017-11145;2017;225;Traunstein;BL-09;Organisation;DIE LINKE;7144
2017-11147;2017;225;Traunstein;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;80056
2017-11143;2017;225;Traunstein;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11146;2017;225;Traunstein;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;12972
2017-11149;2017;225;Traunstein;BL-09;Organisation;Alternative für Deutschland;16276
2017-11191;2017;226;Weilheim;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;19722
2017-11195;2017;226;Weilheim;BL-09;Organisation;Freie Demokratische Partei;9370
2017-11192;2017;226;Weilheim;BL-09;Organisation;DIE LINKE;6229
2017-11194;2017;226;Weilheim;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;63784
2017-11190;2017;226;Weilheim;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11193;2017;226;Weilheim;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;12066
2017-11196;2017;226;Weilheim;BL-09;Organisation;Alternative für Deutschland;13383
2017-11238;2017;227;Deggendorf;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;20612
2017-11242;2017;227;Deggendorf;BL-09;Organisation;Freie Demokratische Partei;4707
2017-11239;2017;227;Deggendorf;BL-09;Organisation;DIE LINKE;4955
2017-11241;2017;227;Deggendorf;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;52167
2017-11237;2017;227;Deggendorf;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11240;2017;227;Deggendorf;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;5342
2017-11243;2017;227;Deggendorf;BL-09;Organisation;Alternative für Deutschland;20438
2017-11285;2017;228;Landshut;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;25970
2017-11289;2017;228;Landshut;BL-09;Organisation;Freie Demokratische Partei;16297
2017-11286;2017;228;Landshut;BL-09;Organisation;DIE LINKE;6869
2017-11288;2017;228;Landshut;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;75702
2017-11284;2017;228;Landshut;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11287;2017;228;Landshut;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;12514
2017-11290;2017;228;Landshut;BL-09;Organisation;Alternative für Deutschland;24080
2017-11332;2017;229;Passau;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;24611
2017-11336;2017;229;Passau;BL-09;Organisation;Freie Demokratische Partei;7900
2017-11333;2017;229;Passau;BL-09;Organisation;DIE LINKE;6246
2017-11335;2017;229;Passau;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;61835
2017-11331;2017;229;Passau;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11334;2017;229;Passau;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;7248
2017-11337;2017;229;Passau;BL-09;Organisation;Alternative für Deutschland;18328
2017-11379;2017;230;Rottal-Inn;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;17683
2017-11383;2017;230;Rottal-Inn;BL-09;Organisation;Freie Demokratische Partei;8625
2017-11380;2017;230;Rottal-Inn;BL-09;Organisation;DIE LINKE;4851
2017-11382;2017;230;Rottal-Inn;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;55364
2017-11378;2017;230;Rottal-Inn;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11381;2017;230;Rottal-Inn;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;6061
2017-11384;2017;230;Rottal-Inn;BL-09;Organisation;Alternative für Deutschland;18539
2017-11426;2017;231;Straubing;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;21525
2017-11430;2017;231;Straubing;BL-09;Organisation;Freie Demokratische Partei;5670
2017-11427;2017;231;Straubing;BL-09;Organisation;DIE LINKE;4766
2017-11429;2017;231;Straubing;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;60976
2017-11425;2017;231;Straubing;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11428;2017;231;Straubing;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;4602
2017-11431;2017;231;Straubing;BL-09;Organisation;Alternative für Deutschland;19261
2017-11473;2017;232;Amberg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;25580
2017-11477;2017;232;Amberg;BL-09;Organisation;Freie Demokratische Partei;8388
2017-11474;2017;232;Amberg;BL-09;Organisation;DIE LINKE;7461
2017-11476;2017;232;Amberg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;80075
2017-11472;2017;232;Amberg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11475;2017;232;Amberg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;11612
2017-11478;2017;232;Amberg;BL-09;Organisation;Alternative für Deutschland;18790
2017-11520;2017;233;Regensburg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;32862
2017-11524;2017;233;Regensburg;BL-09;Organisation;Freie Demokratische Partei;12254
2017-11521;2017;233;Regensburg;BL-09;Organisation;DIE LINKE;11761
2017-11523;2017;233;Regensburg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;78858
2017-11519;2017;233;Regensburg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11522;2017;233;Regensburg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;18343
2017-11525;2017;233;Regensburg;BL-09;Organisation;Alternative für Deutschland;23275
2017-11567;2017;234;Schwandorf;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;38461
2017-11571;2017;234;Schwandorf;BL-09;Organisation;Freie Demokratische Partei;7392
2017-11568;2017;234;Schwandorf;BL-09;Organisation;DIE LINKE;7929
2017-11570;2017;234;Schwandorf;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;77092
2017-11566;2017;234;Schwandorf;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11569;2017;234;Schwandorf;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;6172
2017-11572;2017;234;Schwandorf;BL-09;Organisation;Alternative für Deutschland;0
2017-11614;2017;235;Weiden;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;28614
2017-11618;2017;235;Weiden;BL-09;Organisation;Freie Demokratische Partei;5269
2017-11615;2017;235;Weiden;BL-09;Organisation;DIE LINKE;5677
2017-11617;2017;235;Weiden;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;59285
2017-11613;2017;235;Weiden;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11616;2017;235;Weiden;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;4553
2017-11619;2017;235;Weiden;BL-09;Organisation;Alternative für Deutschland;0
2017-11661;2017;236;Bamberg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;29475
2017-11665;2017;236;Bamberg;BL-09;Organisation;Freie Demokratische Partei;9364
2017-11662;2017;236;Bamberg;BL-09;Organisation;DIE LINKE;7504
2017-11664;2017;236;Bamberg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;60675
2017-11660;2017;236;Bamberg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11663;2017;236;Bamberg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;13194
2017-11666;2017;236;Bamberg;BL-09;Organisation;Alternative für Deutschland;16603
2017-11708;2017;237;Bayreuth;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;26785
2017-11712;2017;237;Bayreuth;BL-09;Organisation;Freie Demokratische Partei;8368
2017-11709;2017;237;Bayreuth;BL-09;Organisation;DIE LINKE;5476
2017-11711;2017;237;Bayreuth;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;58665
2017-11707;2017;237;Bayreuth;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11710;2017;237;Bayreuth;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;8936
2017-11713;2017;237;Bayreuth;BL-09;Organisation;Alternative für Deutschland;11845
2017-11755;2017;238;Coburg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;32163
2017-11759;2017;238;Coburg;BL-09;Organisation;Freie Demokratische Partei;5877
2017-11756;2017;238;Coburg;BL-09;Organisation;DIE LINKE;6305
2017-11758;2017;238;Coburg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;55078
2017-11754;2017;238;Coburg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11757;2017;238;Coburg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;7129
2017-11760;2017;238;Coburg;BL-09;Organisation;Alternative für Deutschland;12763
2017-11802;2017;239;Hof;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;29641
2017-11806;2017;239;Hof;BL-09;Organisation;Freie Demokratische Partei;4716
2017-11803;2017;239;Hof;BL-09;Organisation;DIE LINKE;5560
2017-11805;2017;239;Hof;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;59182
2017-11801;2017;239;Hof;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11804;2017;239;Hof;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;5936
2017-11807;2017;239;Hof;BL-09;Organisation;Alternative für Deutschland;14893
2017-11849;2017;240;Kulmbach;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;21494
2017-11853;2017;240;Kulmbach;BL-09;Organisation;Freie Demokratische Partei;5381
2017-11850;2017;240;Kulmbach;BL-09;Organisation;DIE LINKE;5057
2017-11852;2017;240;Kulmbach;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;74105
2017-11848;2017;240;Kulmbach;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11851;2017;240;Kulmbach;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;5880
2017-11854;2017;240;Kulmbach;BL-09;Organisation;Alternative für Deutschland;15497
2017-11896;2017;241;Ansbach;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;33755
2017-11900;2017;241;Ansbach;BL-09;Organisation;Freie Demokratische Partei;7661
2017-11897;2017;241;Ansbach;BL-09;Organisation;DIE LINKE;11179
2017-11899;2017;241;Ansbach;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;81431
2017-11895;2017;241;Ansbach;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11898;2017;241;Ansbach;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;13946
2017-11901;2017;241;Ansbach;BL-09;Organisation;Alternative für Deutschland;19396
2017-11943;2017;242;Erlangen;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;30965
2017-11947;2017;242;Erlangen;BL-09;Organisation;Freie Demokratische Partei;8713
2017-11944;2017;242;Erlangen;BL-09;Organisation;DIE LINKE;8633
2017-11946;2017;242;Erlangen;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;62767
2017-11942;2017;242;Erlangen;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11945;2017;242;Erlangen;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;16179
2017-11948;2017;242;Erlangen;BL-09;Organisation;Alternative für Deutschland;11670
2017-11990;2017;243;Fürth;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;45055
2017-11994;2017;243;Fürth;BL-09;Organisation;Freie Demokratische Partei;10618
2017-11991;2017;243;Fürth;BL-09;Organisation;DIE LINKE;13311
2017-11993;2017;243;Fürth;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;78559
2017-11989;2017;243;Fürth;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-11992;2017;243;Fürth;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;19088
2017-11995;2017;243;Fürth;BL-09;Organisation;Alternative für Deutschland;20968
2017-12037;2017;244;Nürnberg-Nord;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;37068
2017-12041;2017;244;Nürnberg-Nord;BL-09;Organisation;Freie Demokratische Partei;10379
2017-12038;2017;244;Nürnberg-Nord;BL-09;Organisation;DIE LINKE;14511
2017-12040;2017;244;Nürnberg-Nord;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;45340
2017-12036;2017;244;Nürnberg-Nord;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12039;2017;244;Nürnberg-Nord;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;18463
2017-12042;2017;244;Nürnberg-Nord;BL-09;Organisation;Alternative für Deutschland;13398
2017-12084;2017;245;Nürnberg-Süd;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;34621
2017-12088;2017;245;Nürnberg-Süd;BL-09;Organisation;Freie Demokratische Partei;7632
2017-12085;2017;245;Nürnberg-Süd;BL-09;Organisation;DIE LINKE;10772
2017-12087;2017;245;Nürnberg-Süd;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;46511
2017-12083;2017;245;Nürnberg-Süd;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12086;2017;245;Nürnberg-Süd;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;10163
2017-12089;2017;245;Nürnberg-Süd;BL-09;Organisation;Alternative für Deutschland;17270
2017-12131;2017;246;Roth;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;37920
2017-12135;2017;246;Roth;BL-09;Organisation;Freie Demokratische Partei;8583
2017-12132;2017;246;Roth;BL-09;Organisation;DIE LINKE;8887
2017-12134;2017;246;Roth;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;81874
2017-12130;2017;246;Roth;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12133;2017;246;Roth;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;14465
2017-12136;2017;246;Roth;BL-09;Organisation;Alternative für Deutschland;18925
2017-12178;2017;247;Aschaffenburg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;23660
2017-12182;2017;247;Aschaffenburg;BL-09;Organisation;Freie Demokratische Partei;11381
2017-12179;2017;247;Aschaffenburg;BL-09;Organisation;DIE LINKE;6833
2017-12181;2017;247;Aschaffenburg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;68708
2017-12177;2017;247;Aschaffenburg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12180;2017;247;Aschaffenburg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;13144
2017-12183;2017;247;Aschaffenburg;BL-09;Organisation;Alternative für Deutschland;14985
2017-12225;2017;248;Bad Kissingen;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;32383
2017-12229;2017;248;Bad Kissingen;BL-09;Organisation;Freie Demokratische Partei;9534
2017-12226;2017;248;Bad Kissingen;BL-09;Organisation;DIE LINKE;9071
2017-12228;2017;248;Bad Kissingen;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;86603
2017-12224;2017;248;Bad Kissingen;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12227;2017;248;Bad Kissingen;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;11980
2017-12230;2017;248;Bad Kissingen;BL-09;Organisation;Alternative für Deutschland;17753
2017-12272;2017;249;Main-Spessart;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;35148
2017-12276;2017;249;Main-Spessart;BL-09;Organisation;Freie Demokratische Partei;7708
2017-12273;2017;249;Main-Spessart;BL-09;Organisation;DIE LINKE;7515
2017-12275;2017;249;Main-Spessart;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;72406
2017-12271;2017;249;Main-Spessart;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12274;2017;249;Main-Spessart;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;11050
2017-12277;2017;249;Main-Spessart;BL-09;Organisation;Alternative für Deutschland;14075
2017-12319;2017;250;Schweinfurt;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;26346
2017-12323;2017;250;Schweinfurt;BL-09;Organisation;Freie Demokratische Partei;9506
2017-12320;2017;250;Schweinfurt;BL-09;Organisation;DIE LINKE;12091
2017-12322;2017;250;Schweinfurt;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;73901
2017-12318;2017;250;Schweinfurt;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12321;2017;250;Schweinfurt;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;11466
2017-12324;2017;250;Schweinfurt;BL-09;Organisation;Alternative für Deutschland;17198
2017-12366;2017;251;Würzburg;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;33929
2017-12370;2017;251;Würzburg;BL-09;Organisation;Freie Demokratische Partei;14592
2017-12367;2017;251;Würzburg;BL-09;Organisation;DIE LINKE;10130
2017-12369;2017;251;Würzburg;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;76515
2017-12365;2017;251;Würzburg;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12368;2017;251;Würzburg;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;25359
2017-12371;2017;251;Würzburg;BL-09;Organisation;Alternative für Deutschland;13872
2017-12413;2017;252;Augsburg-Stadt;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;29285
2017-12417;2017;252;Augsburg-Stadt;BL-09;Organisation;Freie Demokratische Partei;9191
2017-12414;2017;252;Augsburg-Stadt;BL-09;Organisation;DIE LINKE;12850
2017-12416;2017;252;Augsburg-Stadt;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;52769
2017-12412;2017;252;Augsburg-Stadt;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12415;2017;252;Augsburg-Stadt;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;21062
2017-12418;2017;252;Augsburg-Stadt;BL-09;Organisation;Alternative für Deutschland;20170
2017-12460;2017;253;Augsburg-Land;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;27813
2017-12464;2017;253;Augsburg-Land;BL-09;Organisation;Freie Demokratische Partei;11976
2017-12461;2017;253;Augsburg-Land;BL-09;Organisation;DIE LINKE;7231
2017-12463;2017;253;Augsburg-Land;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;94252
2017-12459;2017;253;Augsburg-Land;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12462;2017;253;Augsburg-Land;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;14809
2017-12465;2017;253;Augsburg-Land;BL-09;Organisation;Alternative für Deutschland;24279
2017-12507;2017;254;Donau-Ries;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;26562
2017-12511;2017;254;Donau-Ries;BL-09;Organisation;Freie Demokratische Partei;7321
2017-12508;2017;254;Donau-Ries;BL-09;Organisation;DIE LINKE;6198
2017-12510;2017;254;Donau-Ries;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;68770
2017-12506;2017;254;Donau-Ries;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12509;2017;254;Donau-Ries;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;9436
2017-12512;2017;254;Donau-Ries;BL-09;Organisation;Alternative für Deutschland;18799
2017-12554;2017;255;Neu-Ulm;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;26419
2017-12558;2017;255;Neu-Ulm;BL-09;Organisation;Freie Demokratische Partei;10780
2017-12555;2017;255;Neu-Ulm;BL-09;Organisation;DIE LINKE;7855
2017-12557;2017;255;Neu-Ulm;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;80503
2017-12553;2017;255;Neu-Ulm;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12556;2017;255;Neu-Ulm;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;16519
2017-12559;2017;255;Neu-Ulm;BL-09;Organisation;Alternative für Deutschland;24612
2017-12601;2017;256;Oberallgäu;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;21451
2017-12605;2017;256;Oberallgäu;BL-09;Organisation;Freie Demokratische Partei;12262
2017-12602;2017;256;Oberallgäu;BL-09;Organisation;DIE LINKE;8264
2017-12604;2017;256;Oberallgäu;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;88357
2017-12600;2017;256;Oberallgäu;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12603;2017;256;Oberallgäu;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;16162
2017-12606;2017;256;Oberallgäu;BL-09;Organisation;Alternative für Deutschland;16825
2017-12648;2017;257;Ostallgäu;BL-09;Organisation;Sozialdemokratische Partei Deutschlands;21610
2017-12652;2017;257;Ostallgäu;BL-09;Organisation;Freie Demokratische Partei;10627
2017-12649;2017;257;Ostallgäu;BL-09;Organisation;DIE LINKE;10153
2017-12651;2017;257;Ostallgäu;BL-09;Organisation;Christlich-Soziale Union in Bayern e.V.;93430
2017-12647;2017;257;Ostallgäu;BL-09;Organisation;Christlich Demokratische Union Deutschlands;0
2017-12650;2017;257;Ostallgäu;BL-09;Organisation;BÜNDNIS 90/DIE GRÜNEN;16537
2017-12653;2017;257;Ostallgäu;BL-09;Organisation;Alternative für Deutschland;24018
2017-12742;2017;258;Stuttgart I;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;20512
2017-12746;2017;258;Stuttgart I;BL-08;Organisation;Freie Demokratische Partei;13399
2017-12743;2017;258;Stuttgart I;BL-08;Organisation;DIE LINKE;10409
2017-12745;2017;258;Stuttgart I;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12741;2017;258;Stuttgart I;BL-08;Organisation;Christlich Demokratische Union Deutschlands;51118
2017-12744;2017;258;Stuttgart I;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;47430
2017-12747;2017;258;Stuttgart I;BL-08;Organisation;Alternative für Deutschland;10646
2017-12789;2017;259;Stuttgart II;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;25469
2017-12793;2017;259;Stuttgart II;BL-08;Organisation;Freie Demokratische Partei;11903
2017-12790;2017;259;Stuttgart II;BL-08;Organisation;DIE LINKE;12321
2017-12792;2017;259;Stuttgart II;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12788;2017;259;Stuttgart II;BL-08;Organisation;Christlich Demokratische Union Deutschlands;46166
2017-12791;2017;259;Stuttgart II;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;21850
2017-12794;2017;259;Stuttgart II;BL-08;Organisation;Alternative für Deutschland;14345
2017-12836;2017;260;Böblingen;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;38053
2017-12840;2017;260;Böblingen;BL-08;Organisation;Freie Demokratische Partei;24867
2017-12837;2017;260;Böblingen;BL-08;Organisation;DIE LINKE;9715
2017-12839;2017;260;Böblingen;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12835;2017;260;Böblingen;BL-08;Organisation;Christlich Demokratische Union Deutschlands;75323
2017-12838;2017;260;Böblingen;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;23206
2017-12841;2017;260;Böblingen;BL-08;Organisation;Alternative für Deutschland;21842
2017-12883;2017;261;Esslingen;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;25697
2017-12887;2017;261;Esslingen;BL-08;Organisation;Freie Demokratische Partei;11657
2017-12884;2017;261;Esslingen;BL-08;Organisation;DIE LINKE;7853
2017-12886;2017;261;Esslingen;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12882;2017;261;Esslingen;BL-08;Organisation;Christlich Demokratische Union Deutschlands;53665
2017-12885;2017;261;Esslingen;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;20501
2017-12888;2017;261;Esslingen;BL-08;Organisation;Alternative für Deutschland;14390
2017-12930;2017;262;Nürtingen;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;31655
2017-12934;2017;262;Nürtingen;BL-08;Organisation;Freie Demokratische Partei;16390
2017-12931;2017;262;Nürtingen;BL-08;Organisation;DIE LINKE;7978
2017-12933;2017;262;Nürtingen;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12929;2017;262;Nürtingen;BL-08;Organisation;Christlich Demokratische Union Deutschlands;65566
2017-12932;2017;262;Nürtingen;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;24540
2017-12935;2017;262;Nürtingen;BL-08;Organisation;Alternative für Deutschland;19833
2017-12977;2017;263;Göppingen;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;29730
2017-12981;2017;263;Göppingen;BL-08;Organisation;Freie Demokratische Partei;12492
2017-12978;2017;263;Göppingen;BL-08;Organisation;DIE LINKE;5994
2017-12980;2017;263;Göppingen;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-12976;2017;263;Göppingen;BL-08;Organisation;Christlich Demokratische Union Deutschlands;50892
2017-12979;2017;263;Göppingen;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;16420
2017-12982;2017;263;Göppingen;BL-08;Organisation;Alternative für Deutschland;19588
2017-13024;2017;264;Waiblingen;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;33898
2017-13028;2017;264;Waiblingen;BL-08;Organisation;Freie Demokratische Partei;23568
2017-13025;2017;264;Waiblingen;BL-08;Organisation;DIE LINKE;8626
2017-13027;2017;264;Waiblingen;BL-08;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-13023;2017;264;Waiblingen;BL-08;Organisation;Christlich Demokratische Union Deutschlands;64958
2017-13026;2017;264;Waiblingen;BL-08;Organisation;BÜNDNIS 90/DIE GRÜNEN;21542
2017-13029;2017;264;Waiblingen;BL-08;Organisation;Alternative für Deutschland;21863
2017-13071;2017;265;Ludwigsburg;BL-08;Organisation;Sozialdemokratische Partei Deutschlands;30971
